//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
// Okey
m	628	607	0	0	0	1	1m	100	1	20417

// Halloween
//m	609	612	0	0	0	2	1m	100	1	20416
//m	636	622	0	0	0	1	1m	100	1	20701
//m	636	627	0	0	0	5	1m	100	1	20702
//m	640	622	0	0	0	1	1m	100	1	20703
//m	640	627	0	0	0	5	1m	100	1	20704
//m	644	622	0	0	0	1	1m	100	1	20705
//m	644	627	0	0	0	5	1m	100	1	20706
//m	648	622	0	0	0	1	1m	100	1	20707
//m	648	627	0	0	0	5	1m	100	1	20708
//m	610	674	0	0	0	4	1m	100	1	20712
//m	612	672	0	0	0	4	1m	100	1	20714
//m	614	670	0	0	0	4	1m	100	1	20716
//m	616	668	0	0	0	4	1m	100	1	20718
//m	604	668	0	0	0	4	1m	100	1	20711
//m	606	666	0	0	0	4	1m	100	1	20713
//m	608	664	0	0	0	4	1m	100	1	20715
//m	610	662	0	0	0	4	1m	100	1	20717

//-----------------------------------------------------------------------------------
// 군직 NPC
m       623     594     0       0       0       1       1m      100     1       20320
m       627     594     0       0       0       1       1m      100     1       20321
m       631     595     0       0       0       1       1m      100     1       20322
m       635     595     0       0       0       1       1m      100     1       20323
m       645     595     0       0       0       1       1m      100     1       20324
m       649     595     0       0       0       1       1m      100     1       20325
m       653     595     0       0       0       1       1m      100     1       20326
m       657     595     0       0       0       1       1m      100     1       20327
// 상점 주인들
m	676	662	0	0	0	6	1m	100	1	9001
//m	675	663	0	0	0	6	1m	100	1	9007
m	676	617	0	0	0	7	1m	100	1	9002
//m	672	611	0	0	0	7	1m	100	1	20017
m	590	689	0	0	0	4	1m	100	1	9003
m	625	656	0	0	0	4	1m	100	1	9527
m	587	685	0	0	0	4	1m	100	1	60003
m	609	596	0	0	0	2	1m	100	1	9005
m	588	633	0	0	0	1	1m	100	1	9006
m	594	692	0	0	0	4	1m	100	1	20016
//m	589	724	0	0	0	6	1m	100	1	20094
//m	591	722	0	0	0	6	1m	100	1	20086
//m	593	720	0	0	0	6	1m	100	1	20378
//m	595	718	0	0	0	6	1m	100	1	20383
//m	597	716	0	0	0	6	1m	100	1	20090
//m	601	712	0	0	0	6	1m	100	1	20092
//m	603	710	0	0	0	6	1m	100	1	20380
//m	605	708	0	0	0	6	1m	100	1	20018
//m	607	706	0	0	0	6	1m	100	1	20021
//m	600	669	0	0	0	4	1m	100	1	20087
//m	598	667	0	0	0	4	1m	100	1	20022
// 어부들----------------------------------------------------------------------------
m	675	539	0	0	0	0	1m	100	1	9009
m	742	879	0	0	0	0	1m	100	1	9009
m	206	552	0	0	0	0	1m	100	1	9009
m	218	679	0	0	0	0	1m	100	1	9009
m	221	865	0	0	0	0	1m	100	1	9009
m	231	976	0	0	0	0	1m	100	1	9009
m	234	1077	0	0	0	0	1m	100	1	9009
// NPC-------------------------------------------------------------------------------
m	549	610	0	0	0	2	1m	100	1	20349
m	581	620	0	0	0	1	1m	100	1	20008
m	692	577	0	0	0	0	1m	100	1	20023
m	554	597	1	1	0	0	1m	100	1	20002
m	553	663	1	1	0	0	1m	100	1	20003
//g	659	772	1	1	0	0	1m	100	1	11003
m	717	633	1	1	0	0	1m	100	1	20006
m	655	553	1	1	0	0	1m	100	1	20011
m	674	590	1	1	0	0	1m	100	1	20018
g	533	599	1	1	0	0	1m	100	1	12007
// 워프-----------------------------------------------------------------------------------
m	876	1127	0	0	0	0	1m	100	1	10003
// 워프용 npc
m	908	87	0	0	0	0	1m	100	1	20009
m	519	512	0	0	0	0	1m	100	1	9012
//m	614	116	0	0	0	3	1m	100	1	10085

// 길드
m	633	640	0	0	0	0	1m	100	1	11002
m	623	617	0	0	0	0	1m	100	1	11003
// 근면의 훈장 이벤트용 NPC
m	659	772	1	1	0	0	1m	100	1	20041
// 다나까 -----------------------------------------------------------------------------------
// QuestNPC-------------------------------------------------------------------------------
m	772	682	0	0	0	0	1m	100	1	20355
m	571	558	0	0	0	0	1m	100	1	20354
m	507	634	0	0	0	0	1m	100	1	20354
m	250	1104	0	0	0	0	1m	100	1	20358
m	614	1167	0	0	0	0	1m	100	1	20357
m	898	797	0	0	0	0	1m	100	1	20084
// 이벤트용 NPC

// over9제련 NPC

m	615	564	0	0	0	3	1m	100	1	20001
