vnum	rarity	bonus_type0	bonus_value0	bonus_type1	bonus_value1
349	3	117	7	0	0
359	4	117	10	0	0
369	1	117	2	0	0
379	2	117	4	0	0
389	3	117	7	0	0
399	4	117	10	0	0
409	1	63	2	0	0
419	2	63	4	0	0
429	3	63	7	0	0
439	4	63	10	0	0
449	1	63	2	0	0
459	2	63	4	0	0
529	1	71	1	0	0
539	2	71	2	0	0
549	3	71	3	0	0
559	4	71	5	0	0
569	1	71	1	0	0
579	2	71	2	0	0
589	3	71	3	0	0
599	4	71	5	0	0
609	3	63	7	0	0
619	4	63	10	0	0
629	1	63	2	0	0
639	2	63	4	0	0
649	3	63	7	0	0
659	4	63	10	0	0
669	1	63	2	0	0
679	2	63	4	0	0
689	3	63	7	0	0
699	4	63	10	0	0
709	1	63	2	0	0
719	2	63	4	0	0
729	3	63	7	0	0
739	4	63	10	0	0
749	1	63	2	0	0
759	2	63	4	0	0
769	3	63	7	0	0
779	4	63	10	0	0
1519	1	71	1	0	0
1529	2	71	2	0	0
1539	3	71	3	0	0
1549	4	71	5	0	0
2519	1	71	1	0	0
2529	2	71	2	0	0
2539	3	71	3	0	0
2549	4	71	5	0	0
5209	4	117	10	0	0
5519	1	71	1	0	0
5529	2	71	2	0	0
5539	3	71	3	0	0
5549	4	71	5	0	0
7319	1	117	2	0	0
7329	2	117	4	0	0
7339	3	117	7	0	0
7349	4	117	10	0	0
7519	1	71	1	0	0
7529	2	71	2	0	0
7539	3	71	3	0	0
7549	4	71	5	0	0
12100	1	71	2	0	0
12101	2	71	4	0	0
12102	3	71	7	0	0
12103	4	71	10	0	0
12104	1	71	2	0	0
12105	2	71	4	0	0
12106	3	71	7	0	0
12107	4	71	10	0	0
12108	1	71	2	0	0
12109	2	71	4	0	0
12110	3	71	7	0	0
12111	4	71	10	0	0
12112	1	71	2	0	0
12113	2	71	4	0	0
12114	3	71	7	0	0
12115	4	71	10	0	0
12810	1	117	2	0	0
12811	2	117	4	0	0
12812	3	117	7	0	0
12813	4	117	10	0	0
12830	1	117	2	0	0
12831	2	117	4	0	0
12832	3	117	7	0	0
12833	4	117	10	0	0
12850	1	117	2	0	0
12851	2	117	4	0	0
12852	3	117	7	0	0
12853	4	117	10	0	0
12854	3	0	0	0	0
12858	1	64	2	0	0
12859	2	64	4	0	0
12860	3	64	7	0	0
12861	4	64	10	0	0
12862	1	64	2	0	0
12863	2	64	4	0	0
12864	3	64	7	0	0
12865	4	64	10	0	0
12866	1	64	2	0	0
12867	2	64	4	0	0
12868	3	64	7	0	0
12869	4	64	10	0	0
13070	1	59	1	0	0
13071	2	59	3	0	0
13072	3	59	6	0	0
13073	4	59	10	0	0
13090	1	60	1	0	0
13091	2	60	3	0	0
13092	3	60	6	0	0
13093	4	60	10	0	0
13110	1	61	1	0	0
13111	2	61	3	0	0
13112	3	61	6	0	0
13113	4	61	10	0	0
13130	1	62	1	0	0
13131	2	62	3	0	0
13132	3	62	6	0	0
13133	4	62	10	0	0
13150	3	0	0	0	0
12790	3	0	0	0	0
17230	3	0	0	0	0
16230	3	0	0	0	0
14230	3	0	0	0	0
13170	3	0	0	0	0
15460	3	0	0	0	0
13151	2	1	600	0	0
13152	3	1	1000	0	0
13153	4	1	1500	0	0
15010	3	0	0	0	0
15011	2	73	2	0	0
15012	3	73	3	0	0
15013	4	73	5	0	0
15461	2	117	4	0	0
15462	3	117	7	0	0
15463	4	117	10	0	0
15464	3	0	0	0	0
16590	3	0	0	0	0
16591	2	0	0	0	0
16592	3	0	0	0	0
16593	4	0	0	0	0
17580	3	0	0	0	0
40004	0	119	12	0	0
49010	0	1	3000	0	0
53025	0	1	3000	0	0
53026	0	1	3000	0	0
53027	0	1	3000	0	0
53028	0	1	3000	0	0
53248	0	1	3000	0	0
53249	0	1	3000	0	0
71188	0	119	8	0	0
48301	0	1	3000	0	0
53271	0	1	3000	0	0
53272	0	1	3000	0	0
53273	0	1	3000	0	0
53274	0	1	3000	0	0
53275	0	1	3000	0	0
53276	0	1	3000	0	0
40008	0	119	12	0	0
49049	0	117	20	0	0
71250	0	117	20	0	0
71251	0	117	20	0	0
49050	0	1	3000	0	0
40009	0	73	7	0	0
71140	4	117	25	0	0
711361	0	0	0	0	0
71255	0	117	25	0	0
53284	0	1	3000	0	0
71256	0	117	15	0	0
53286	4	1	3000	0	0
71199	4	119	10	0	0
71300	0	113	0	63	0
71301	0	113	1	63	1
71302	0	113	2	63	2
71303	0	113	3	63	3
71304	0	113	4	63	4
71305	0	113	5	63	5
71306	0	113	6	63	6
71307	0	113	7	63	7
71308	0	113	8	63	8
71309	0	113	9	63	9
71310	0	113	10	63	10
71311	0	113	11	63	11
71312	0	113	12	63	12
71313	0	113	13	63	13
71314	0	113	14	63	14
71315	0	113	15	63	15
71316	0	113	16	63	16
71317	0	113	17	63	17
71318	0	113	18	63	18
71319	0	113	19	63	19
71320	0	113	20	63	20
58009	0	119	10	0	0
58010	0	119	10	0	0
58008	0	119	5	0	0
58011	0	119	5	0	0
19309	3	0	0	0	0
19509	3	0	0	0	0
19709	3	0	0	0	0
19909	3	0	0	0	0
329	3	0	0	0	0
339	3	0	0	0	0
3239	3	0	0	0	0
1199	3	0	0	0	0
2219	3	0	0	0	0
5179	3	0	0	0	0
12090	3	0	0	0	0
12091	3	0	0	0	0
12092	3	0	0	0	0
12093	3	0	0	0	0
520	3	0	0	0	0
521	3	0	0	0	0
522	3	0	0	0	0
523	3	0	0	0	0
524	3	0	0	0	0
525	3	0	0	0	0
526	3	0	0	0	0
